repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
cli,docs/contributors/README.md,2,1,1,1394,2,0.5,2.0,0.5,3,2,1.0,1394,352,,1
cli,docs/contributors/fetch.py,2,1,1,1542,2,0.5,140.5,0.0,280,1,0.5,1746,203,192.5,1
cli,docs/contributors/generate.py,4,1,1,1542,2,0.75,14.0,0.75,41,1,0.25,1746,203,28.5,1
cli,docs/contributors/people.json,4,1,1,1542,2,0.5,180.25,7.5,337,1,0.25,1746,203,,1
cli,docs/contributors/snippet.jinja2,2,1,1,1542,2,0.5,8.5,1.5,13,1,0.5,1746,203,,1
cli,docs/httpie-animation.gif,1,1,1,1783,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,docs/httpie-logo.svg,1,1,1,1783,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
cli,docs/installation/README.md,1,1,1,1754,1,1.0,5.0,0.0,5,1,1.0,1754,0,,1
cli,docs/installation/generate.py,2,1,1,1394,2,0.5,43.0,0.5,85,2,1.0,1394,360,61.0,1
cli,docs/installation/installation.jinja2,2,2,2,1749,2,0.5,20.0,1.5,37,1,0.5,1754,4,,1
cli,docs/installation/methods.yml,14,1,1,873,9,0.2857142857142857,21.857142857142858,7.785714285714286,269,6,0.42857142857142855,1160,880,,1
cli,docs/linter/mdl-styles.rb,1,1,1,1781,1,1.0,39.0,0.0,39,1,1.0,1781,0,8.0,1
cli,docs/markdownlint.rb,4,1,2,1563,3,0.5,2.75,0.0,3,2,0.5,1645,190,9.5,1
cli,docs/packaging/README.md,7,1,1,1085,3,0.5714285714285714,12.285714285714286,5.571428571428571,49,3,0.42857142857142855,1653,668,,1
cli,docs/packaging/brew/README.md,5,1,1,1085,4,0.4,9.2,3.0,33,3,0.6,1538,668,,1
cli,docs/packaging/brew/brew-deps.py,2,1,2,1697,2,0.5,0.5,0.0,1,1,0.5,1753,56,56.0,1
cli,docs/packaging/brew/httpie.rb,10,1,1,1085,3,0.6,8.2,7.9,38,2,0.2,1741,668,65.8,1
cli,docs/packaging/brew/update.sh,1,1,1,1563,1,1.0,6.0,0.0,6,0,0.0,9999,0,,0
cli,docs/packaging/linux-alpine/APKBUILD,2,2,2,1741,1,1.0,23.0,2.5,33,2,1.0,1741,12,,1
cli,docs/packaging/linux-alpine/README.md,1,1,1,1753,1,1.0,67.0,0.0,67,1,1.0,1753,0,,1
cli,docs/packaging/linux-aosc/README.md,1,1,1,1753,1,1.0,24.0,0.0,24,1,1.0,1753,0,,1
cli,docs/packaging/linux-aosc/autobuild/defines,1,1,1,1741,1,1.0,8.0,0.0,8,1,1.0,1741,0,,1
cli,docs/packaging/linux-aosc/spec,1,1,1,1753,1,1.0,5.0,0.0,5,1,1.0,1753,0,,1
cli,docs/packaging/linux-arch/PKGBUILD,3,1,1,1085,2,0.6666666666666666,17.666666666666668,2.0,46,2,0.6666666666666666,1741,668,,1
cli,docs/packaging/linux-arch/README.md,1,1,1,1753,1,1.0,22.0,0.0,22,1,1.0,1753,0,,1
cli,docs/packaging/linux-centos/README.md,1,1,1,1753,1,1.0,26.0,0.0,26,1,1.0,1753,0,,1
cli,docs/packaging/linux-debian/README.md,4,1,1,1085,3,0.5,10.25,3.75,29,2,0.5,1741,668,,1
cli,docs/packaging/linux-fedora/README.md,3,1,1,1085,3,0.3333333333333333,17.0,1.0,48,1,0.3333333333333333,1753,668,,1
cli,docs/packaging/linux-fedora/httpie.spec.txt,5,1,1,1085,3,0.6,54.6,0.6,248,2,0.4,1699,656,,1
cli,docs/packaging/linux-fedora/update.sh,1,1,1,1563,1,1.0,6.0,0.0,6,0,0.0,9999,0,,0
cli,docs/packaging/linux-gentoo/Manifest,2,2,2,1741,1,1.0,1.5,0.0,2,2,1.0,1741,12,,1
cli,docs/packaging/linux-gentoo/README.md,3,3,3,1735,1,1.0,26.666666666666668,0.6666666666666666,78,3,1.0,1735,18,,1
cli,docs/packaging/linux-gentoo/httpie-2.5.0.ebuild,1,1,1,1753,1,1.0,42.0,0.0,42,1,1.0,1753,0,,1
cli,docs/packaging/linux-gentoo/httpie-2.6.0.ebuild,1,1,1,1741,1,1.0,2.0,1.0,3,1,1.0,1741,0,,1
cli,docs/packaging/linux-gentoo/metadata.xml,2,2,2,1735,1,1.0,14.5,4.0,28,1,0.5,1753,18,,1
cli,docs/packaging/linux-void/README.md,2,2,2,1741,1,1.0,37.0,0.5,68,2,1.0,1741,12,,1
cli,docs/packaging/linux-void/template,3,3,3,1735,1,1.0,11.666666666666666,2.0,28,2,0.6666666666666666,1741,18,,1
cli,docs/packaging/mac-ports/Portfile,3,1,2,1653,2,0.6666666666666666,21.0,4.333333333333333,49,3,1.0,1653,100,,1
cli,docs/packaging/mac-ports/README.md,3,1,1,1085,2,0.6666666666666666,14.0,0.6666666666666666,40,2,0.6666666666666666,1741,668,,1
cli,docs/packaging/snapcraft/README.md,4,1,1,1085,3,0.5,16.0,1.0,51,2,0.5,1753,668,,1
cli,docs/packaging/spack/README.md,3,3,3,1741,1,1.0,19.666666666666668,3.0,54,3,1.0,1741,12,,1
cli,docs/packaging/spack/package.py,3,3,3,1735,1,1.0,16.666666666666668,4.666666666666667,32,2,0.6666666666666666,1741,18,18.0,1
cli,docs/packaging/windows-chocolatey/README.md,5,1,1,1085,3,0.6,11.2,1.2,29,2,0.4,1753,668,,1
cli,docs/packaging/windows-chocolatey/httpie.nuspec,13,1,3,1085,3,0.46153846153846156,5.384615384615385,1.5384615384615385,49,4,0.3076923076923077,1160,668,,1
cli,docs/packaging/windows-chocolatey/tools/chocolateyinstall.ps1,2,2,2,1749,1,1.0,3.5,2.5,6,1,0.5,1753,3,,1
cli,docs/packaging/windows-chocolatey/tools/chocolateyuninstall.ps1,1,1,1,1753,1,1.0,2.0,0.0,2,1,1.0,1753,0,,1
cli,docs/stardust.png,1,1,1,1563,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,extras/brew-deps.py,6,2,2,1782,2,0.6666666666666666,5.333333333333333,2.3333333333333335,18,0,0.0,9999,947,50.166666666666664,0
cli,extras/get-homebrew-formula-vars.py,5,1,1,2730,1,1.0,18.4,6.0,55,2,0.4,2935,903,41.4,1
cli,extras/httpie-completion.bash,4,1,2,1734,4,0.25,0.75,1.5,5,3,0.75,1734,1941,,1
cli,extras/httpie-completion.fish,8,1,2,585,6,0.25,23.0,15.625,187,2,0.25,585,3090,,1
cli,extras/httpie.rb,15,1,1,1782,3,0.8666666666666667,16.266666666666666,10.866666666666667,67,1,0.06666666666666667,2290,1735,46.6,1
cli,extras/man/http.1,13,2,2,631,3,0.38461538461538464,53.92307692307692,7.769230769230769,600,3,0.23076923076923078,746,932,,1
cli,extras/man/httpie.1,8,2,2,631,3,0.5,13.625,1.125,91,3,0.375,746,932,,1
cli,extras/man/https.1,13,2,2,631,3,0.38461538461538464,54.0,7.846153846153846,600,3,0.23076923076923078,746,932,,1
