commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_progress.py,tests/test_progress.py,82,2,84,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_panel.py,tests/test_panel.py,2,3,5,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_filesize.py,tests/test_filesize.py,3,5,8,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,pretty.py,rich/pretty.py,2,2,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_bar.py,tests/test_bar.py,1,1,2,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,test_console.py,tests/test_console.py,1,1,2,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,text.py,rich/text.py,5,4,9,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,table.py,rich/table.py,2,2,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,syntax.py,rich/syntax.py,4,2,6,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,rule.py,rich/rule.py,3,1,4,0,0
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,traceback.py,rich/traceback.py,3,1,4,0,1
65fc2f9d8bcf0e5dddf04bfceea15139ab32a4ca,Will McGugan,Will McGugan,2020-05-22 09:33:57+00:00,2020-05-22T10:33:57+01:00,"change protocol names, optimizations",False,1,protocol.py,rich/protocol.py,1,2,3,0,0
2f35e32f4da4b2098d2946296b79bc139cb3b6e5,Will McGugan,Will McGugan,2020-05-22 13:57:50+00:00,2020-05-22T14:57:50+01:00,tests,False,1,test_progress.py,tests/test_progress.py,18,1,19,0,1
2f35e32f4da4b2098d2946296b79bc139cb3b6e5,Will McGugan,Will McGugan,2020-05-22 13:57:50+00:00,2020-05-22T14:57:50+01:00,tests,False,1,style.py,rich/style.py,25,12,37,0,0
2f35e32f4da4b2098d2946296b79bc139cb3b6e5,Will McGugan,Will McGugan,2020-05-22 13:57:50+00:00,2020-05-22T14:57:50+01:00,tests,False,1,markdown.py,rich/markdown.py,1,1,2,0,0
